id;product_id;revision;name;description;vqi;procurement_type;material_type;serial_number_profile;critical_configuration_item_indicator;regular_part_indicator;history_indicator;cross_plant_status;cross_plant_status_to_be;tool_pack_category;tc_change_control;sap_change_control;allow_bom_restructuring;unit_of_measure;item_usage;is_phantom;failure_rate;in_house_production_time;sl_abc_code;production_plant;limited_driving_12_nc;limited_driving_12_ncflag;multi_plant;type;successor_part_id
1;92444;matrix;Account;Grass-roots calculating;Salad PCI Harbors;Inverse SMTP;Awesome Beauty;e-business transmit;true;digital;back-end Granite parse;initiatives;Hat withdrawal;Money;true;true;true;dynamic Awesome;B2C;false;deposit;94440;mission-critical convergence deliver;Dirham;architectures cross-platform pixel;Honduras Home pixel;Representative bypassing monitor;relationships calculate;46132
2;51209;Practical hacking interface;Heights optical;Incredible transparent;deposit;Iowa parsing;Specialist multi-byte monetize;District XSS;false;Open-architected;application payment calculating;payment;Automotive Cambridgeshire Ergonomic;magenta Zealand;false;true;false;calculate;Tanzanian Arkansas;true;compress;92863;payment primary SSL;Freeway;Grocery Buckinghamshire Integration;Central Gloves;mindshare Soft Tobago;Delaware Berkshire Account;61249
3;30774;Gloves Guatemala reciprocal;Wooden China visualize;user-centric Clothing drive;bypassing benchmark payment;ivory Executive;Cambridgeshire Customizable Architect;XML Frozen disintermediate;true;leverage Rial revolutionary;reintermediate invoice Mills;indigo feed Implementation;indigo;Granite Gloves;false;true;false;Regional port;primary killer;false;Islands Center;18177;Futuna;solution-oriented Down-sized;Borders Shoes;overriding Wells Administrator;back-end optical rich;Optimization Dynamic technologies;15163
4;11335;facilitate;multi-state relationships;TCP Canyon holistic;Maryland AI;Director;lime Granite panel;leverage GB Home;true;JBOD;Berkshire hacking invoice;Buckinghamshire;Regional;online Skyway mesh;true;false;false;Creative;Concrete;true;Montana;81922;Belize uniform;Mouse wireless program;cyan Avon alarm;Bedfordshire Sports card;Loan Principal stable;Washington Account responsive;76445
5;30938;stable;China Handmade;withdrawal;Executive;parse;Cheese EXE;Supervisor User-friendly;false;Niue Thailand eyeballs;Congo Concrete Metrics;Parkway Marketing;Group compress Frozen;enhance Courts;false;false;false;generating optimizing;International;false;time-frame EXE;42334;Berkshire Barbuda Human;Zloty multi-byte brand;Tasty navigating Account;azure;cyan Credit Forward;reboot;83845
6;75530;Illinois Consultant;cultivate Web;withdrawal systematic;Concrete microchip;generate scale;sticky Avon Analyst;port Loan SAS;false;Won SMS Zambian;dedicated Specialist backing;Representative Markets;Boliviano monitor Producer;Administrator Incredible;true;false;true;navigate Plastic Digitized;XML Forward;true;empower;52417;driver Baby IB;B2C Corporate;Facilitator Market;Concrete calculating;SCSI cultivate;overriding Pakistan Dynamic;37636
7;99146;Soft Bedfordshire;Minnesota uniform;info-mediaries;streamline Ridge;Executive;Dynamic Georgia;Concrete;false;Games solution-oriented wireless;USB;quantifying withdrawal functionalities;Peso array Engineer;Palladium digital;false;true;true;withdrawal yellow;Stream Developer;false;Islands payment Pennsylvania;26714;clear-thinking Kuwait Michigan;Re-engineered Nauru;Garden;Consultant;Account;Kansas;74574
8;77143;orchestration Frozen;orange port;Cotton multi-state;User Flats SMS;National e-business protocol;payment Berkshire Indonesia;Account;false;compressing emulation Forward;Toys Buckinghamshire;brand Home;auxiliary Director;Lead Digitized silver;true;false;false;interface Streamlined;Customer firewall;true;up optimize;62589;Cotton;deposit Re-contextualized projection;Mobility payment Shoals;Tuna;Cliffs;viral Assurance;84885
9;413;index Health;Product;olive program Cotton;holistic compressing network;Ecuador bandwidth;payment silver Shirt;Intelligent Granite;true;Road;SSL;FTP;lime Lead hacking;hack Dynamic;false;true;true;deposit silver Account;JSON;true;innovative;37044;Tunnel Lead Corner;Lek;redundant Personal;open-source;Greece payment primary;Mouse;38741
10;26733;Belize Object-based;calculate Awesome;value-added bus Pennsylvania;Specialist architectures Shoes;Cambridgeshire group;ADP Toys Village;Designer Buckinghamshire;true;Account cross-platform Handcrafted;Bacon;Investment Toys;panel reboot;Marketing withdrawal holistic;false;true;false;Global Fresh;portals Handcrafted;true;Lempira Ohio visualize;57277;incremental Web;hardware;Lithuania Ameliorated;parsing;Creative;deposit;65932
