id;product_id;revision;name;description;vqi;procurement_type;material_type;serial_number_profile;critical_configuration_item_indicator;regular_part_indicator;history_indicator;cross_plant_status;cross_plant_status_to_be;tool_pack_category;tc_change_control;sap_change_control;allow_bom_restructuring;unit_of_measure;item_usage;is_phantom;failure_rate;in_house_production_time;sl_abc_code;production_plant;limited_driving_12_nc;limited_driving_12_ncflag;multi_plant;type;successor_part_id
1;60933;Myanmar bandwidth-monitored revolutionize;Money;17(E.U.A.-17);Frozen;Gorgeous service-desk;Franc Loan;program;false;Cheese Home;indexing;African;Associate back-end utilize;feed process Chips;true;false;true;Ways;up;true;Home Fresh Zealand;34957;dot-com impactful;leading-edge;asymmetric innovative;Lodge Group Account;asymmetric;application;45280
2;69592;Group Tools Berkshire;Executive;models;Fantastic;red Garden Graphic;Infrastructure digital;Intelligent;true;sensor expedite;feed alarm markets;Alabama Multi-channelled Gorgeous;invoice connecting;Egyptian Lari SSL;true;true;true;Human;deliverables;true;Automotive Alaska;54954;parsing;Coordinator XML compressing;deliver Hat Wooden;bypass Future;value-added ROI;Cotton deposit input;59979
3;37061;Drive input;monitoring intuitive;Investment invoice;Lead cross-platform Hat;Dynamic Implementation;deposit;Health;true;Developer Associate;hacking Tuna;Avon calculate;up withdrawal;reboot payment;true;false;true;Ergonomic;Factors Metrics;false;Bedfordshire;9625;Indiana Mobility;driver teal virtual;New;Loan Christmas;compressing;Fork;60659
4;63480;invoice;Unbranded;sensor Shores connecting;red Industrial circuit;circuit capacity;quantify Hat;maroon zero;false;quantifying;Missouri Table;3rd;Cross-group benchmark open-source;Integration compress Developer;true;true;true;Re-contextualized markets Ford;Fantastic grey Awesome;false;Mozambique parse;92333;Agent;SDD feed;Liaison;TCP hack;payment;Director;1713
5;63716;Regional;Wooden SDR;Concrete;Health Kansas;JBOD Ball 1080p;ivory Dam;EXE;false;SSL Personal;Awesome;transmit Fresh;hard Cambridgeshire;Investor Analyst;false;true;true;Pizza;Australia JSON channels;false;models SMTP;13817;Mill Estate;Plastic national digital;wireless Computer Account;Orchard;matrix;Research;51715
6;11169;Advanced;Denar;Shoes;America Barbados indigo;embrace Soap;Health Response;Cambridgeshire;false;Manager firewall;Delaware connecting;challenge;Micronesia Rupee Security;dedicated;false;true;false;Croatia Berkshire Books;Island Wooden;true;generate payment;53175;Fresh needs-based interfaces;Gorgeous Cambridgeshire;Intranet Account;bandwidth SSL SAS;definition;maximize Road overriding;56631
7;87172;Soft Intelligent Berkshire;Incredible Virginia benchmark;Estates Bedfordshire;feed Vietnam;Dynamic withdrawal SCSI;Avon Lek generating;Utah;true;copy attitude-oriented;invoice quantify;grey;engineer compressing calculate;Administrator;true;true;true;Account Extended indexing;Checking matrix calculate;false;Handcrafted;64668;Borders encryption;Wooden Concrete zero;parsing repurpose Rubber;seize Union bluetooth;access orchid;Rupiah Baby Rupee;84526
8;44041;Pants;Handcrafted SMS Synergized;Cotton user-facing;Uganda;bus;Hawaii Borders;Monitored;false;Switzerland Kids Cotton;synergistic GB;copy digital;SCSI;methodical Granite Chief;true;false;true;UAE Hat;channels;false;Kansas Generic Developer;30499;white invoice Accountability;Computer Research Metal;Beauty;cohesive service-desk;Account solution Steel;channels Interactions Bulgaria;72319
9;18973;hacking Intuitive;next-generation incentivize;Books blue;e-services;Focused bluetooth e-markets;Concrete;Illinois process;true;deposit;Usability Barbuda Orchestrator;Idaho Missouri;withdrawal;Granite;true;false;false;payment Kip mint;redundant Representative;true;Configurable Avon;70479;Frozen Concrete Toys;Small;Auto Loan;United;Universal Cotton;generating Director matrix;12094
10;69048;Cotton Triple-buffered;Congo;Jersey Stream Devolved;Creative Loan;auxiliary;Sausages payment;Nicaragua Handcrafted solution;true;green drive;online programming mindshare;Future compressing;District coherent Reactive;flexibility Games Home;true;false;false;streamline Senior alarm;heuristic dynamic;false;Sausages Multi-lateral compress;50076;Brazil reboot override;innovate Colombian;silver;Frozen Ecuador Mount;Steel digital;edge;69588
